Aufloesung,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200
Rueckwaertsentfaltung,265,582,1025,1596,2283,3095,4039,5092,6270,7626,9007,10566,12242,14039,15957,18011,20179,22458,24895,27435,30092,32917,35821
Vorwaertsentfaltung,17968,17969,18003,18008,17978,17974,18009,18257,18129,18188,18277,17987,17976,17970,18177,17981,18126,18043,18032,18035,18116,18099,17990
