aufloesung,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
defekte,1623,2721,7799,19337,40168,72349,1.1668e+05,1.7354e+05,2.4522e+05,3.2935e+05,4.2388e+05,5.2709e+05,6.3803e+05,7.5619e+05,8.8129e+05,1.0139e+06,1.1534e+06
